ItemNo,Participant,Trial,ACondition,Plaus,Heard Answer,HA Wlength,Anumber,List,QCondition,QFile,Qnumber,Question,Expected Answer,EA Wlength,QLSA,response,Correct,Incorrect,Prop Heard,Block,Plaus HIT,Plaus Incorrect,NumberOfPlausibleWordsReported,NumberOfPlausibleWordsNotReported,Prop Expected
9,99079,1,Implausible,1.18,The Eiffel Tower,2,11,4b,Unpredictable,6U,26,What is your least favourite method of transport?,Buzz Lightyear,2,0.39,,0,2,0,1,,,0,2,0
6,99079,2,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,,0,3,0,1,,,0,3,0
11,99079,3,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,,0,2,0,1,,,0,2,0
15,99079,4,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,Cassidy,0,3,0,1,,,0,2,0
20,99079,5,Implausible,1.27,Black and white,2,8,4b,Unpredictable,5U,25,Where did you go on your boat ride yesterday?,Buckingham Palace,2,0.33,Black and white,2,0,1,1,,,0,2,0
20,99079,6,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,,0,2,0,2,,,0,2,0
13,99079,7,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,Harry Potter,2,0,1,2,,,0,3,0
2,99079,8,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,,0,4,0,2,,,0,2,0
29,99079,9,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,,0,3,0,2,,,0,2,0
22,99079,10,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,,0,3,0,2,,,0,3,0
18,99079,11,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,,0,2,0,3,,,0,3,0
23,99079,12,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,James Bond,2,0,1,3,,,0,3,0
17,99079,13,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,,0,4,0,3,,,0,3,0
10,99079,14,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,,0,2,0,3,,,0,3,0
18,74472,1,Implausible,1.36,Robin hood,2,31,2b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,Christmas,0,2,0,1,,,0,3,0
6,74472,2,Implausible,1.73,Ham and pineapple,3,9,2b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,Galaxy,0,3,0,1,,,0,3,0
17,74472,3,Implausible,1.09,A knife and fork,4,1,2b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,A way in flat,1,3,0.25,1,,,0,3,0
15,74472,4,Implausible,1.27,Twice a day,3,30,2b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,Chris,0,3,0,1,,,0,2,0
20,74472,5,Implausible,1.09,Donald Trump,2,8,2b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,Donna,0,2,0,1,,,0,2,0
9,74472,6,Implausible,1.36,Hillary Clinton,2,11,2b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,The aurora,0,2,0,2,,,1,1,0.5
29,74472,7,Implausible,1,The North Pole,3,23,2b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,Banana,0,3,0,2,,,0,2,0
10,74472,8,Implausible,1.91,Snow White,2,19,2b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,Small mind,0,2,0,2,,,0,3,0
20,74472,9,Implausible,1.09,Black and white,2,8,2b,Predictable,5P,25,Which river runs through London?,Buckingham Palace,2,0.69,Buckingham palace,0,2,0,2,,,2,0,1
22,74472,10,Implausible,1.09,Molly and Arthur,3,15,2b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,Money and,1,2,0.333333333,2,,,0,3,0
9,74472,11,Implausible,1.36,The Eiffel Tower,2,11,2b,Predictable,6P,26,What is London's underground railway also known as?,Buzz Lightyear,2,0.71,The eiffel tower,2,0,1,3,,,0,2,0
2,74472,12,Implausible,1.09,It hit an iceberg,4,12,2b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Unintelligble,0,4,0,3,,,0,2,0
23,74472,13,Implausible,1.27,James bond,2,13,2b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,James bond,2,0,1,3,,,0,3,0
13,74472,14,Implausible,1.36,Harry Potter,2,10,2b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,Harry potter,2,0,1,3,,,0,3,0
